Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result,Invalid_Votes
23,11,KANDHASAMY. R,M,IND,141,52.0,160327,279510,SAIDAPET,GEN,CHENNAI,CHENNAI CITY REGION,30,57.36,0.09,yes,16,0.01,2.78,AETN187271,10809,2.0,IND,10809.0,SAIDAPET,True,True,0.0,False,False,True,8th Pass,Labourer or Daily Wage,,,,Lost,119183
23,19,MANIMARAN. S,M,IND,43,50.0,160327,279510,SAIDAPET,GEN,CHENNAI,CHENNAI CITY REGION,30,57.36,0.03,yes,3,0.0,2.78,AETN190924,10809,2.0,IND,10809.0,SAIDAPET,True,True,0.0,False,False,False,8th Pass,Other,,,,Lost,119183
23,23,LOGANATHAN. J,M,IND,34,57.0,160327,279510,SAIDAPET,GEN,CHENNAI,CHENNAI CITY REGION,30,57.36,0.02,yes,2,0.0,2.78,AETN186870,10809,3.0,BJP,1605.0,AVADI,False,False,0.0,False,False,True,Illiterate,Other,,,,Lost,119183
24,2,SATHIYANAARAYANAN B,M,ADMK,55898,57.0,138114,246676,THEAYAGARAYA NAGAR,GEN,CHENNAI,CHENNAI CITY REGION,14,55.99,40.47,no,41331,29.93,3.03,AETN187273,930,2.0,ADMK,930.0,THIYAGARAYANAGAR,True,True,1.0,False,True,True,Graduate,Business,,,,Lost,108562
25,17,ARUNRAJ BALAN,M,IND,76,31.0,153430,271077,MYLAPORE,GEN,CHENNAI,CHENNAI CITY REGION,23,56.6,0.05,yes,26,0.02,2.94,AETN187313,10809,2.0,IND,10809.0,MYLAPORE,True,True,0.0,False,False,True,12th Pass,Salaried Work or Employed,,,,Lost,117647
25,20,V. VIJAYA KRISHNA,M,IND,38,42.0,153430,271077,MYLAPORE,GEN,CHENNAI,CHENNAI CITY REGION,23,56.6,0.02,yes,3,0.0,2.94,AETN187307,10809,2.0,SHS,18691.0,MYLAPORE,True,False,0.0,False,False,True,Post Graduate,Salaried Work or Employed,Managerial Position,,,Lost,117647
25,21,SHANMUGARAJAN B,M,IND,35,69.0,153430,271077,MYLAPORE,GEN,CHENNAI,CHENNAI CITY REGION,23,56.6,0.02,yes,6,0.0,2.94,AETN187315,10809,2.0,IND,10809.0,MYLAPORE,True,True,0.0,False,False,True,Post Graduate,Former Government,Ex Civil Service,,,Lost,117647
26,2,M.K.ASHOK,M,ADMK,64141,49.0,176714,314549,VELACHERY,GEN,CHENNAI,CHENNAI CITY REGION,23,56.18,36.3,no,41069,23.24,3.23,AETN190965,930,2.0,ADMK,930.0,VELACHERY,True,True,1.0,False,False,False,Graduate,Small Business or Self-employed,Workshop or Small Manufacturer,,,Lost,137835
27,1,S.ARAVINDRAMESH,M,DMK,171558,53.0,388355,699612,SHOZHINGANALLUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,26,55.51,44.18,no,35405,9.12,2.94,AETN187342,10192,2.0,DMK,10192.0,SHOZHINGANALLUR,True,True,2.0,False,True,True,8th Pass,Business,,,,Won,311257
27,2,K.P.KANDAN,M,ADMK,136153,57.0,388355,699612,SHOZHINGANALLUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,26,55.51,35.06,no,97281,25.05,2.94,AETN190979,930,2.0,ADMK,930.0,SHOZHINGANALLUR,True,True,1.0,False,False,False,8th Pass,Business,Real Estate or Builder or Developer or Construction,Agriculture,,Lost,311257
27,21,D.KALANITHI,M,IND,96,41.0,388355,699612,SHOZHINGANALLUR,GEN,KANCHIPURAM,CHENNAI CITY REGION,26,55.51,0.02,yes,1,0.0,2.94,AETN187354,10809,2.0,IND,10809.0,SHOZHINGANALLUR,True,True,0.0,False,False,True,Graduate,Labourer or Daily Wage,,,,Lost,311257
